Date,Price,Open,High,Low,Vol,Change,left,right,Volume
"Nov 30, 2012",12.6,12.4,12.6,12.4,24.35K,0.96%,24.35,K,24350
"Nov 29, 2012",12.4,12.4,12.6,12.1,26.51K,0.81%,26.51,K,26510
"Nov 28, 2012",12.4,12.2,12.4,12.1,30.69K,1.23%,30.69,K,30690
"Nov 27, 2012",12.2,12.3,12.3,11.9,33.20K,-0.41%,33.2,K,33200
"Nov 26, 2012",12.3,12.5,12.6,11.9,35.91K,-1.84%,35.91,K,35910
"Nov 25, 2012",12.5,12.4,12.6,12.3,24.02K,0.56%,24.02,K,24020
"Nov 24, 2012",12.4,12.4,12.5,12.3,19.57K,0.49%,19.57,K,19570
"Nov 23, 2012",12.4,12.4,12.4,12.1,18.97K,-0.56%,18.97,K,18970
"Nov 22, 2012",12.4,11.8,12.4,11.7,58.30K,5.52%,58.3,K,58300
"Nov 21, 2012",11.8,11.7,11.8,11.6,19.23K,0.00%,19.23,K,19230
"Nov 20, 2012",11.7,11.8,11.8,11.6,27.22K,-0.59%,27.22,K,27220
"Nov 19, 2012",11.8,11.6,11.8,11.6,25.20K,1.29%,25.2,K,25200
"Nov 18, 2012",11.6,11.8,11.8,11.6,15.51K,-1.19%,15.51,K,15510
"Nov 17, 2012",11.8,11.8,11.8,11.5,19.11K,0.00%,19.11,K,19110
"Nov 16, 2012",11.8,11.2,11.8,11.2,58.25K,4.91%,58.25,K,58250
"Nov 15, 2012",11.2,10.9,11.3,10.9,31.90K,2.28%,31.9,K,31900
"Nov 14, 2012",10.9,10.9,11.1,10.8,24.54K,0.00%,24.54,K,24540
"Nov 13, 2012",10.9,11,11.1,10.9,16.76K,-0.54%,16.76,K,16760
"Nov 12, 2012",11,10.9,11.2,10.8,39.22K,1.29%,39.22,K,39220
"Nov 11, 2012",10.9,10.9,10.9,10.7,12.63K,0.00%,12.63,K,12630
"Nov 10, 2012",10.9,10.8,11,10.8,13.49K,0.65%,13.49,K,13490
"Nov 09, 2012",10.8,10.9,11,10.8,14.73K,-1.01%,14.73,K,14730
"Nov 08, 2012",10.9,10.9,11.1,10.8,26.06K,0.00%,26.06,K,26060
"Nov 07, 2012",10.9,10.9,11.2,10.8,31.73K,0.00%,31.73,K,31730
"Nov 06, 2012",10.9,10.8,10.9,10.7,27.00K,1.40%,27,K,27000
"Nov 05, 2012",10.8,10.8,10.9,10.6,21.78K,-0.46%,21.78,K,21780
"Nov 04, 2012",10.8,10.6,10.9,10.5,16.75K,1.50%,16.75,K,16750
"Nov 03, 2012",10.6,10.5,10.6,10.4,16.73K,1.62%,16.73,K,16730
"Nov 02, 2012",10.5,10.6,10.8,10.3,24.49K,-0.95%,24.49,K,24490
"Nov 01, 2012",10.6,11.2,11.3,10.4,50.36K,-5.63%,50.36,K,50360
"Oct 31, 2012",11.2,10.9,11.2,10.7,40.67K,2.85%,40.67,K,40670
"Oct 30, 2012",10.9,10.6,10.9,10.6,26.02K,2.74%,26.02,K,26020
"Oct 29, 2012",10.6,10.7,10.9,10.3,37.58K,-0.93%,37.58,K,37580
"Oct 28, 2012",10.7,10.3,10.9,10.3,22.39K,4.29%,22.39,K,22390
"Oct 27, 2012",10.3,10.2,10.8,9.8,47.87K,0.88%,47.87,K,47870
"Oct 26, 2012",10.2,10.9,10.9,9.7,99.00K,-6.35%,99,K,99000
"Oct 25, 2012",10.9,11.6,11.7,10.5,84.71K,-6.78%,84.71,K,84710
"Oct 24, 2012",11.6,11.6,11.8,11.6,21.77K,0.00%,21.77,K,21770
"Oct 23, 2012",11.6,11.7,12,11.4,54.34K,-0.51%,54.34,K,54340
"Oct 22, 2012",11.7,11.6,11.8,11.5,37.62K,0.69%,37.62,K,37620
"Oct 21, 2012",11.6,11.7,11.8,11.6,9.38K,-0.94%,9.38,K,9380
"Oct 20, 2012",11.7,11.7,11.9,11.6,22.11K,0.00%,22.11,K,22110
"Oct 19, 2012",11.7,11.9,12,11.6,23.18K,-1.68%,23.18,K,23180
"Oct 18, 2012",11.9,11.8,12,11.8,21.88K,1.10%,21.88,K,21880
"Oct 17, 2012",11.8,11.9,12,11.7,23.55K,0.00%,23.55,K,23550
"Oct 16, 2012",11.9,11.8,12,11.5,41.19K,0.00%,41.19,K,41190
"Oct 15, 2012",11.8,11.7,12,11.4,27.10K,0.85%,27.1,K,27100
"Oct 14, 2012",11.7,11.9,12,11.5,22.89K,-1.01%,22.89,K,22890
"Oct 13, 2012",11.9,12,12.1,11.9,11.86K,-1.17%,11.86,K,11860
"Oct 12, 2012",12,12,12.1,11.9,21.54K,0.00%,21.54,K,21540
"Oct 11, 2012",12,12.1,12.1,11.9,19.83K,-0.74%,19.83,K,19830
"Oct 10, 2012",12.1,11.9,12.2,11.8,27.72K,1.85%,27.72,K,27720
"Oct 09, 2012",11.9,11.8,12.4,11.6,46.77K,1.02%,46.77,K,46770
"Oct 08, 2012",11.8,11.8,11.9,10.6,97.94K,0.00%,97.94,K,97940
"Oct 07, 2012",11.8,12.5,12.6,11.7,63.51K,-5.68%,63.51,K,63510
"Oct 06, 2012",12.5,12.7,12.9,12.4,24.67K,-1.42%,24.67,K,24670
"Oct 05, 2012",12.7,12.9,13,12.5,31.26K,-1.25%,31.26,K,31260
"Oct 04, 2012",12.9,12.9,13.1,12.6,37.95K,0.00%,37.95,K,37950
"Oct 03, 2012",12.9,12.8,13,12.7,32.96K,0.39%,32.96,K,32960
"Oct 02, 2012",12.8,12.4,12.9,12.3,50.83K,3.55%,50.83,K,50830
"Oct 01, 2012",12.4,12.4,12.5,12.3,24.83K,0.00%,24.83,K,24830
"Sep 30, 2012",12.4,12.4,12.4,12.3,7.79K,0.00%,7.79,K,7790
"Sep 29, 2012",12.4,12.4,12.5,12.2,17.06K,0.00%,17.06,K,17060
"Sep 28, 2012",12.4,12.3,12.4,12.1,26.68K,0.65%,26.68,K,26680
"Sep 27, 2012",12.3,12.3,12.4,12.2,19.33K,0.00%,19.33,K,19330
"Sep 26, 2012",12.3,12.2,12.5,12,23.50K,0.57%,23.5,K,23500
"Sep 25, 2012",12.2,12.1,12.2,12,21.23K,0.83%,21.23,K,21230
"Sep 24, 2012",12.1,12.2,12.3,11.9,27.29K,-0.74%,27.29,K,27290
"Sep 23, 2012",12.2,12.2,12.3,11.6,39.92K,-0.41%,39.92,K,39920
"Sep 22, 2012",12.2,12.4,12.4,12.1,14.99K,-1.05%,14.99,K,14990
"Sep 21, 2012",12.4,12.3,12.5,12,35.84K,0.73%,35.84,K,35840
"Sep 20, 2012",12.3,12.6,12.7,12.3,32.57K,-2.31%,32.57,K,32570
"Sep 19, 2012",12.6,12.3,12.7,12.1,41.88K,2.61%,41.88,K,41880
"Sep 18, 2012",12.3,11.9,12.4,11.8,40.95K,3.03%,40.95,K,40950
"Sep 17, 2012",11.9,11.9,12,11.8,26.61K,0.00%,26.61,K,26610
"Sep 16, 2012",11.9,11.8,12,11.7,30.30K,1.02%,30.3,K,30300
"Sep 15, 2012",11.8,11.7,11.8,11.6,16.27K,0.69%,16.27,K,16270
"Sep 14, 2012",11.7,11.4,11.8,11.3,43.26K,2.37%,43.26,K,43260
"Sep 13, 2012",11.4,11.4,11.4,11.2,20.57K,0.00%,20.57,K,20570
"Sep 12, 2012",11.4,11.3,11.4,10.8,58.63K,0.00%,58.63,K,58630
"Sep 11, 2012",11.3,11.2,11.4,10.9,64.95K,1.43%,64.95,K,64950
"Sep 10, 2012",11.2,11,11.2,10.9,42.29K,1.36%,42.29,K,42290
