Date,president_name,president_code
"Jun 04, 2019",Donald Trump,1
"Jun 03, 2019",Donald Trump,1
"Jun 02, 2019",Donald Trump,1
"Jun 01, 2019",Donald Trump,1
"May 31, 2019",Donald Trump,1
"May 30, 2019",Donald Trump,1
"May 29, 2019",Donald Trump,1
"May 28, 2019",Donald Trump,1
"May 27, 2019",Donald Trump,1
"May 26, 2019",Donald Trump,1
"May 25, 2019",Donald Trump,1
"May 24, 2019",Donald Trump,1
"May 23, 2019",Donald Trump,1
"May 22, 2019",Donald Trump,1
"May 21, 2019",Donald Trump,1
"May 20, 2019",Donald Trump,1
"May 19, 2019",Donald Trump,1
"May 18, 2019",Donald Trump,1
"May 17, 2019",Donald Trump,1
"May 16, 2019",Donald Trump,1
"May 15, 2019",Donald Trump,1
"May 14, 2019",Donald Trump,1
"May 13, 2019",Donald Trump,1
"May 12, 2019",Donald Trump,1
"May 11, 2019",Donald Trump,1
"May 10, 2019",Donald Trump,1
"May 09, 2019",Donald Trump,1
"May 08, 2019",Donald Trump,1
"May 07, 2019",Donald Trump,1
"May 06, 2019",Donald Trump,1
"May 05, 2019",Donald Trump,1
"May 04, 2019",Donald Trump,1
"May 03, 2019",Donald Trump,1
"May 02, 2019",Donald Trump,1
"May 01, 2019",Donald Trump,1
"Apr 30, 2019",Donald Trump,1
"Apr 29, 2019",Donald Trump,1
"Apr 28, 2019",Donald Trump,1
"Apr 27, 2019",Donald Trump,1
"Apr 26, 2019",Donald Trump,1
"Apr 25, 2019",Donald Trump,1
"Apr 24, 2019",Donald Trump,1
"Apr 23, 2019",Donald Trump,1
"Apr 22, 2019",Donald Trump,1
"Apr 21, 2019",Donald Trump,1
"Apr 20, 2019",Donald Trump,1
"Apr 19, 2019",Donald Trump,1
"Apr 18, 2019",Donald Trump,1
"Apr 17, 2019",Donald Trump,1
"Apr 16, 2019",Donald Trump,1
"Apr 15, 2019",Donald Trump,1
"Apr 14, 2019",Donald Trump,1
"Apr 13, 2019",Donald Trump,1
"Apr 12, 2019",Donald Trump,1
"Apr 11, 2019",Donald Trump,1
"Apr 10, 2019",Donald Trump,1
"Apr 09, 2019",Donald Trump,1
"Apr 08, 2019",Donald Trump,1
"Apr 07, 2019",Donald Trump,1
"Apr 06, 2019",Donald Trump,1
"Apr 05, 2019",Donald Trump,1
"Apr 04, 2019",Donald Trump,1
"Apr 03, 2019",Donald Trump,1
"Apr 02, 2019",Donald Trump,1
"Apr 01, 2019",Donald Trump,1
"Mar 31, 2019",Donald Trump,1
"Mar 30, 2019",Donald Trump,1
"Mar 29, 2019",Donald Trump,1
"Mar 28, 2019",Donald Trump,1
"Mar 27, 2019",Donald Trump,1
"Mar 26, 2019",Donald Trump,1
"Mar 25, 2019",Donald Trump,1
"Mar 24, 2019",Donald Trump,1
"Mar 23, 2019",Donald Trump,1
"Mar 22, 2019",Donald Trump,1
"Mar 21, 2019",Donald Trump,1
"Mar 20, 2019",Donald Trump,1
"Mar 19, 2019",Donald Trump,1
"Mar 18, 2019",Donald Trump,1
"Mar 17, 2019",Donald Trump,1
"Mar 16, 2019",Donald Trump,1
"Mar 15, 2019",Donald Trump,1
"Mar 14, 2019",Donald Trump,1
"Mar 13, 2019",Donald Trump,1
"Mar 12, 2019",Donald Trump,1
"Mar 11, 2019",Donald Trump,1
"Mar 10, 2019",Donald Trump,1
"Mar 09, 2019",Donald Trump,1
"Mar 08, 2019",Donald Trump,1
"Mar 07, 2019",Donald Trump,1
"Mar 06, 2019",Donald Trump,1
"Mar 05, 2019",Donald Trump,1
"Mar 04, 2019",Donald Trump,1
"Mar 03, 2019",Donald Trump,1
"Mar 02, 2019",Donald Trump,1
"Mar 01, 2019",Donald Trump,1
"Feb 28, 2019",Donald Trump,1
"Feb 27, 2019",Donald Trump,1
"Feb 26, 2019",Donald Trump,1
"Feb 25, 2019",Donald Trump,1
"Feb 24, 2019",Donald Trump,1
"Feb 23, 2019",Donald Trump,1
"Feb 22, 2019",Donald Trump,1
"Feb 21, 2019",Donald Trump,1
"Feb 20, 2019",Donald Trump,1
"Feb 19, 2019",Donald Trump,1
"Feb 18, 2019",Donald Trump,1
"Feb 17, 2019",Donald Trump,1
"Feb 16, 2019",Donald Trump,1
"Feb 15, 2019",Donald Trump,1
"Feb 14, 2019",Donald Trump,1
"Feb 13, 2019",Donald Trump,1
"Feb 12, 2019",Donald Trump,1
"Feb 11, 2019",Donald Trump,1
"Feb 10, 2019",Donald Trump,1
"Feb 09, 2019",Donald Trump,1
"Feb 08, 2019",Donald Trump,1
"Feb 07, 2019",Donald Trump,1
"Feb 06, 2019",Donald Trump,1
"Feb 05, 2019",Donald Trump,1
"Feb 04, 2019",Donald Trump,1
"Feb 03, 2019",Donald Trump,1
"Feb 02, 2019",Donald Trump,1
"Feb 01, 2019",Donald Trump,1
"Jan 31, 2019",Donald Trump,1
"Jan 30, 2019",Donald Trump,1
"Jan 29, 2019",Donald Trump,1
"Jan 28, 2019",Donald Trump,1
"Jan 27, 2019",Donald Trump,1
"Jan 26, 2019",Donald Trump,1
"Jan 25, 2019",Donald Trump,1
"Jan 24, 2019",Donald Trump,1
"Jan 23, 2019",Donald Trump,1
"Jan 22, 2019",Donald Trump,1
"Jan 21, 2019",Donald Trump,1
"Jan 20, 2019",Donald Trump,1
"Jan 19, 2019",Donald Trump,1
"Jan 18, 2019",Donald Trump,1
"Jan 17, 2019",Donald Trump,1
"Jan 16, 2019",Donald Trump,1
"Jan 15, 2019",Donald Trump,1
"Jan 14, 2019",Donald Trump,1
"Jan 13, 2019",Donald Trump,1
"Jan 12, 2019",Donald Trump,1
"Jan 11, 2019",Donald Trump,1
"Jan 10, 2019",Donald Trump,1
"Jan 09, 2019",Donald Trump,1
"Jan 08, 2019",Donald Trump,1
"Jan 07, 2019",Donald Trump,1
"Jan 06, 2019",Donald Trump,1
"Jan 05, 2019",Donald Trump,1
"Jan 04, 2019",Donald Trump,1
"Jan 03, 2019",Donald Trump,1
"Jan 02, 2019",Donald Trump,1
"Jan 01, 2019",Donald Trump,1
"Dec 31, 2018",Donald Trump,1
"Dec 30, 2018",Donald Trump,1
"Dec 29, 2018",Donald Trump,1
"Dec 28, 2018",Donald Trump,1
"Dec 27, 2018",Donald Trump,1
"Dec 26, 2018",Donald Trump,1
"Dec 25, 2018",Donald Trump,1
"Dec 24, 2018",Donald Trump,1
"Dec 23, 2018",Donald Trump,1
"Dec 22, 2018",Donald Trump,1
"Dec 21, 2018",Donald Trump,1
"Dec 20, 2018",Donald Trump,1
"Dec 19, 2018",Donald Trump,1
"Dec 18, 2018",Donald Trump,1
"Dec 17, 2018",Donald Trump,1
"Dec 16, 2018",Donald Trump,1
"Dec 15, 2018",Donald Trump,1
"Dec 14, 2018",Donald Trump,1
"Dec 13, 2018",Donald Trump,1
"Dec 12, 2018",Donald Trump,1
"Dec 11, 2018",Donald Trump,1
"Dec 10, 2018",Donald Trump,1
"Dec 09, 2018",Donald Trump,1
"Dec 08, 2018",Donald Trump,1
"Dec 07, 2018",Donald Trump,1
"Dec 06, 2018",Donald Trump,1
"Dec 05, 2018",Donald Trump,1
"Dec 04, 2018",Donald Trump,1
"Dec 03, 2018",Donald Trump,1
"Dec 02, 2018",Donald Trump,1
"Dec 01, 2018",Donald Trump,1
"Nov 30, 2018",Donald Trump,1
"Nov 29, 2018",Donald Trump,1
"Nov 28, 2018",Donald Trump,1
"Nov 27, 2018",Donald Trump,1
"Nov 26, 2018",Donald Trump,1
"Nov 25, 2018",Donald Trump,1
"Nov 24, 2018",Donald Trump,1
"Nov 23, 2018",Donald Trump,1
"Nov 22, 2018",Donald Trump,1
"Nov 21, 2018",Donald Trump,1
"Nov 20, 2018",Donald Trump,1
"Nov 19, 2018",Donald Trump,1
"Nov 18, 2018",Donald Trump,1
"Nov 17, 2018",Donald Trump,1
"Nov 16, 2018",Donald Trump,1
"Nov 15, 2018",Donald Trump,1
"Nov 14, 2018",Donald Trump,1
"Nov 13, 2018",Donald Trump,1
"Nov 12, 2018",Donald Trump,1
"Nov 11, 2018",Donald Trump,1
"Nov 10, 2018",Donald Trump,1
"Nov 09, 2018",Donald Trump,1
"Nov 08, 2018",Donald Trump,1
"Nov 07, 2018",Donald Trump,1
"Nov 06, 2018",Donald Trump,1
"Nov 05, 2018",Donald Trump,1
"Nov 04, 2018",Donald Trump,1
"Nov 03, 2018",Donald Trump,1
"Nov 02, 2018",Donald Trump,1
"Nov 01, 2018",Donald Trump,1
"Oct 31, 2018",Donald Trump,1
"Oct 30, 2018",Donald Trump,1
"Oct 29, 2018",Donald Trump,1
"Oct 28, 2018",Donald Trump,1
"Oct 27, 2018",Donald Trump,1
"Oct 26, 2018",Donald Trump,1
"Oct 25, 2018",Donald Trump,1
"Oct 24, 2018",Donald Trump,1
"Oct 23, 2018",Donald Trump,1
"Oct 22, 2018",Donald Trump,1
"Oct 21, 2018",Donald Trump,1
"Oct 20, 2018",Donald Trump,1
"Oct 19, 2018",Donald Trump,1
"Oct 18, 2018",Donald Trump,1
"Oct 17, 2018",Donald Trump,1
"Oct 16, 2018",Donald Trump,1
