Height,Sum,Time
49884,['50'],2010-04-10 04:09:48
49884,['50'],2010-04-10 04:09:48
49884,['50'],2010-04-10 04:09:48
49890,['0.01'],2010-04-10 04:23:33
49890,['49.9'],2010-04-10 04:23:33
49898,['410.44'],2010-04-10 05:28:02
49898,['0.01'],2010-04-10 05:28:02
49929,['50'],2010-04-10 08:14:30
49929,['50'],2010-04-10 08:14:30
49929,['50'],2010-04-10 08:14:30
49929,['50'],2010-04-10 08:14:30
49995,['50'],2010-04-10 16:02:35
49995,['100'],2010-04-10 16:02:35
50001,['100'],2010-04-10 16:31:40
50001,['50'],2010-04-10 16:31:40
50083,['100'],2010-04-10 23:15:41
50083,['100'],2010-04-10 23:15:41
50091,['50'],2010-04-11 00:04:52
50091,['50'],2010-04-11 00:04:52
50091,['45'],2010-04-11 00:04:52
50139,['50'],2010-04-11 06:14:00
50139,['48.5'],2010-04-11 06:14:00
50161,['50'],2010-04-11 08:11:30
50161,['50'],2010-04-11 08:11:30
50193,['50'],2010-04-11 10:32:02
50193,['100'],2010-04-11 10:32:02
50213,['50'],2010-04-11 13:20:58
50213,['50'],2010-04-11 13:20:58
50213,['50'],2010-04-11 13:20:58
50248,['2038'],2010-04-11 16:57:23
50248,['2613'],2010-04-11 16:57:23
50259,['1.5'],2010-04-11 18:00:21
50259,['200'],2010-04-11 18:00:21
50259,['1'],2010-04-11 18:00:21
50265,['250'],2010-04-11 18:19:35
50265,['450'],2010-04-11 18:19:35
50271,['150'],2010-04-11 19:01:57
50271,['150'],2010-04-11 19:01:57
50271,['400'],2010-04-11 19:01:57
50271,['350'],2010-04-11 19:01:57
50280,['48.25'],2010-04-11 19:46:26
50280,['1'],2010-04-11 19:46:26
50296,['200'],2010-04-11 21:30:42
50296,['50'],2010-04-11 21:30:42
50301,['50'],2010-04-11 22:12:33
50301,['100'],2010-04-11 22:12:33
50301,['50'],2010-04-11 22:12:33
50339,['50'],2010-04-12 02:58:43
50339,['100'],2010-04-12 02:58:43
50346,['20'],2010-04-12 03:31:20
50346,['10'],2010-04-12 03:31:20
50359,['50'],2010-04-12 04:34:54
50359,['50'],2010-04-12 04:34:54
50413,['50'],2010-04-12 10:20:23
50413,['50'],2010-04-12 10:20:23
50413,['150'],2010-04-12 10:20:23
50413,['50'],2010-04-12 10:20:23
50413,['50'],2010-04-12 10:20:23
50424,['50'],2010-04-12 11:15:45
50424,['50'],2010-04-12 11:15:45
50424,['50'],2010-04-12 11:15:45
50425,['50'],2010-04-12 11:28:46
50425,['50'],2010-04-12 11:28:46
50471,['1000'],2010-04-12 17:05:34
50471,['750'],2010-04-12 17:05:34
50471,['400'],2010-04-12 17:05:34
50509,['50'],2010-04-12 22:53:11
50509,['750'],2010-04-12 22:53:11
50634,['50'],2010-04-13 15:54:28
50634,['50'],2010-04-13 15:54:28
50638,['150'],2010-04-13 16:23:29
50638,['50'],2010-04-13 16:23:29
50638,['150'],2010-04-13 16:23:29
50638,['300'],2010-04-13 16:23:29
50640,['50'],2010-04-13 17:19:13
50640,['50'],2010-04-13 17:19:13
50680,['10'],2010-04-13 20:55:17
50680,['300'],2010-04-13 20:55:17
50706,['200'],2010-04-14 00:09:15
50706,['181'],2010-04-14 00:09:15
50713,['5'],2010-04-14 01:22:26
50713,['100'],2010-04-14 01:22:26
50772,['50'],2010-04-14 09:42:09
50772,['50'],2010-04-14 09:42:09
50776,['50'],2010-04-14 10:15:39
50776,['50'],2010-04-14 10:15:39
50776,['50'],2010-04-14 10:15:39
50784,['1'],2010-04-14 11:06:55
50784,['50'],2010-04-14 11:06:55
50784,['1'],2010-04-14 11:06:55
50784,['1'],2010-04-14 11:06:55
50847,['200'],2010-04-14 18:20:23
50847,['50'],2010-04-14 18:20:23
50847,['44.59'],2010-04-14 18:20:23
50864,['100'],2010-04-14 20:37:06
50864,['90'],2010-04-14 20:37:06
50865,['0.01'],2010-04-14 20:45:36
50865,['500'],2010-04-14 20:45:36
50865,['50'],2010-04-14 20:45:36
50884,['1'],2010-04-14 23:50:38
50884,['1'],2010-04-14 23:50:38
50884,['1'],2010-04-14 23:50:38
50886,['3206.6'],2010-04-15 00:03:49
50886,['100'],2010-04-15 00:03:49
50886,['10'],2010-04-15 00:03:49
50889,['3206.6'],2010-04-15 00:28:36
50889,['3200'],2010-04-15 00:28:36
50889,['3093'],2010-04-15 00:28:36
50889,['2986'],2010-04-15 00:28:36
50889,['2879'],2010-04-15 00:28:36
50889,['2772'],2010-04-15 00:28:36
50889,['2665'],2010-04-15 00:28:36
50889,['2558'],2010-04-15 00:28:36
50889,['2451'],2010-04-15 00:28:36
50889,['2344'],2010-04-15 00:28:36
50889,['2237'],2010-04-15 00:28:36
50889,['2130'],2010-04-15 00:28:36
50889,['2023'],2010-04-15 00:28:36
50889,['1916'],2010-04-15 00:28:36
50889,['1809'],2010-04-15 00:28:36
50889,['1702'],2010-04-15 00:28:36
50889,['1595'],2010-04-15 00:28:36
50889,['1488'],2010-04-15 00:28:36
50889,['1381'],2010-04-15 00:28:36
